date,SPY,QQQ
2000-06-06,-0.0044604927782497805,-0.027800898951223618
2000-06-07,0.006934072967783145,0.026712328767123372
2000-06-08,-0.003919906769784931,-0.004669779853235467
2000-06-09,-0.0021272069772388935,0.00536193029490617
2000-06-12,-0.011724578981027522,-0.03200000000000003
2000-06-13,0.018766177739430567,0.038567493112947604
2000-06-14,0.0016938386618674528,-0.022546419098143256
2000-06-15,0.0021137180300148106,0.01763907734056991
2000-06-16,-0.010546298249314523,0.005333333333333412
2000-06-19,0.012790449797484449,0.039787798408488007
2000-06-20,-0.003578194064407514,-0.003826530612244916
2000-06-21,-0.00042247570764686326,0.012804097311139628
2000-06-22,-0.015215553677092153,-0.036662452591656125
2000-06-23,-0.008583690987124415,-0.03937007874015752
2000-06-26,0.012878787878787934,0.02732240437158473
2000-06-27,-0.007372582540869699,-0.01196808510638303
